"as_of_date","variable","c_value","i_value","f_value","e_value","v_value","average_pre_cv"
2020-03-04,"delayable",107.27,,,,,"4089430"
2020-03-05,"delayable",108.74,,,,,"4089430"
2020-03-06,"delayable",109.89,,,,,"4089430"
2020-03-07,"delayable",108.785,,,,,"4089430"
2020-03-08,"delayable",108.785,,,,,"4089430"
2020-03-09,"delayable",107.68,,,,,"4089430"
2020-03-10,"delayable",107.3,,,,,"4089430"
2020-03-11,"delayable",107.17,,,,,"4089430"
2020-03-12,"delayable",106.2,,,,,"4089430"
2020-03-13,"delayable",106.02,,,,,"4089430"
2020-03-14,"delayable",104.77,,,,,"4089430"
2020-03-15,"delayable",104.77,,,,,"4089430"
2020-03-16,"delayable",103.52,,,,,"4089430"
2020-03-17,"delayable",103.21,,,,,"4089430"
2020-03-18,"delayable",102.3,,,,,"4089430"
2020-03-19,"delayable",100.52,,,,,"4089430"
2020-03-20,"delayable",99.05,,,,,"4089430"
2020-03-21,"delayable",89.99,,,,,"4089430"
2020-03-22,"delayable",89.99,,,,,"4089430"
2020-03-23,"delayable",80.93,,0.224309989411727,,,"4089430"
2020-03-24,"delayable",76.06,,0.289282369425568,,,"4089430"
2020-03-25,"delayable",69.34,,0.313931281376622,,,"4089430"
2020-03-26,"delayable",63.73,,0.320900467791355,,,"4089430"
2020-03-27,"delayable",57.43,,0.326084564352489,,,"4089430"
2020-03-28,"delayable",50.785,,0.33031498277266,,,"4089430"
2020-03-29,"delayable",50.785,,0.332784764624899,,,"4089430"
2020-03-30,"delayable",44.14,,0.347236656453344,,,"4089430"
2020-03-31,"delayable",44.51,91.7,0.348532680593628,3982734.71046536,2.8,"4089430"
2020-04-01,"delayable",46.72,,0.435488564420958,,,"4089430"
2020-04-02,"delayable",48.2,,0.435977630134273,,,"4089430"
2020-04-03,"delayable",49.3,,0.437640453559543,,,"4089430"
2020-04-04,"delayable",50.535,,0.438545225129174,,,"4089430"
2020-04-05,"delayable",50.535,,0.438618584986172,,,"4089430"
2020-04-06,"delayable",51.77,,0.449671470107081,,,"4089430"
2020-04-07,"delayable",51.23,,0.449916002963738,,,"4089430"
2020-04-08,"delayable",51.87,,0.45030725553439,,,"4089430"
2020-04-09,"delayable",53.09,,0.450600694962379,,,"4089430"
2020-04-10,"delayable",53.235,,0.45099194753303,,,"4089430"
2020-04-11,"delayable",53.235,,0.450698508105042,,,"4089430"
2020-04-12,"delayable",53.235,,0.45030725553439,,,"4089430"
2020-04-13,"delayable",53.235,,0.451676639531671,,,"4089430"
2020-04-14,"delayable",53.38,,0.452165705244985,,,"4089430"
2020-04-15,"delayable",53.31,,0.452239065101982,,,"4089430"
2020-04-16,"delayable",52.71,,0.452532504529971,,,"4089430"
2020-04-17,"delayable",54.01,,0.4526547709583,,,"4089430"
2020-04-18,"delayable",54.21,,0.450258348963058,,,"4089430"
2020-04-19,"delayable",54.21,,0.449720376678412,,,"4089430"
2020-04-20,"delayable",54.41,,0.452605864386968,,,"4089430"
